ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples,lamnda
691,3460,-0.13399999999999998,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06964285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06964285714285715, 0.06964285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0125, 0.0, 0.06964285714285715, 0.06964285714285715, 0.06964285714285715, 0.06964285714285715, 0.05535714285714286, 0.05535714285714286, 0.06785714285714287, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.0, 0.0, 0.05535714285714286, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.014285714285714285, 0.014285714285714285, 0.06964285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06964285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06964285714285715]}",0.24268045551534964,0,692,0,"{'lens': [15, 13, 13, 13, 13]}",13.4,52886,0.6103800000000065
692,3465,-0.12599999999999997,-0.2,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07535714285714286, 0.014285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.061071428571428575, 0.061071428571428575, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.07535714285714286, 0.07535714285714286, 0.05535714285714286, 0.04285714285714286, 0.04285714285714286, 0.04285714285714286, 0.04285714285714286, 0.0, 0.0, 0.02, 0.0325, 0.0, 0.0, 0.0, 0.04285714285714286, 0.0, 0.0, 0.0, 0.045, 0.045, 0.0125, 0.0125, 0.05535714285714286, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.05535714285714286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05535714285714286]}",0.2403083587964412,0,693,0,"{'lens': [13, 15, 13, 9, 13]}",12.6,52949,0.6103850000000065
693,3470,-0.13999999999999999,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06690476190476191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06690476190476191, 0.06690476190476191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06690476190476191, 0.06690476190476191, 0.06690476190476191, 0.07940476190476191, 0.07940476190476191, 0.06690476190476191, 0.06773809523809524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0125, 0.054404761904761914, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0125, 0.07940476190476191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07940476190476191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06690476190476191]}",0.2500636375738415,0,694,0,"{'lens': [14, 13, 15, 15, 13]}",14.0,53019,0.6103900000000065
694,3475,-0.144,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06511904761904762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06511904761904762, 0.03833333333333333, 0.0125, 0.0, 0.0, 0.0125, 0.0, 0.0, 0.039285714285714285, 0.07761904761904762, 0.07761904761904762, 0.06511904761904762, 0.06511904761904762, 0.07761904761904762, 0.05261904761904762, 0.05261904761904762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0125, 0.0, 0.05261904761904762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0125, 0.0125, 0.07845238095238095, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06511904761904762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06511904761904762]}",0.23904159850681272,0,695,0,"{'lens': [13, 14, 15, 15, 15]}",14.4,53091,0.6103950000000066
695,3480,-0.13799999999999998,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06825396825396826, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06825396825396826, 0.06825396825396826, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06825396825396826, 0.07936507936507936, 0.07936507936507936, 0.06825396825396826, 0.04285714285714286, 0.04285714285714286, 0.04285714285714286, 0.0, 0.0, 0.0, 0.0, 0.025396825396825397, 0.0, 0.0, 0.04285714285714286, 0.0, 0.0, 0.0, 0.0, 0.025396825396825397, 0.025396825396825397, 0.014285714285714285, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01111111111111111, 0.0, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03333333333333333, 0.01111111111111111, 0.06825396825396826]}",0.2408865227838248,0,696,0,"{'lens': [13, 13, 13, 13, 17]}",13.8,53160,0.6104000000000066
696,3485,-0.144,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06619047619047617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07952380952380951, 0.052857142857142846, 0.01, 0.0, 0.0, 0.01, 0.0, 0.0, 0.023333333333333334, 0.07619047619047618, 0.07619047619047618, 0.06619047619047617, 0.06619047619047617, 0.07619047619047618, 0.06619047619047617, 0.06619047619047617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06619047619047617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06619047619047617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06619047619047617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06619047619047617]}",0.2507343030624387,0,697,0,"{'lens': [14, 19, 13, 13, 13]}",14.4,53232,0.6104050000000066
697,3490,-0.12999999999999998,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.05714285714285714, 0.014285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.05714285714285714, 0.07142857142857142, 0.05714285714285714, 0.05714285714285714, 0.02857142857142857, 0.02857142857142857, 0.014285714285714285, 0.0, 0.0, 0.014285714285714285, 0.014285714285714285, 0.02857142857142857, 0.0, 0.014285714285714285, 0.014285714285714285, 0.0, 0.0, 0.0, 0.014285714285714285, 0.04285714285714286, 0.04285714285714286, 0.05714285714285714, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142]}",0.23386722205349855,0,698,0,"{'lens': [13, 13, 13, 13, 13]}",13.0,53297,0.6104100000000067
698,3495,-0.12999999999999998,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142]}",0.24884195247992724,0,699,0,"{'lens': [13, 13, 13, 13, 13]}",13.0,53362,0.6104150000000067
699,3500,-0.13999999999999999,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07962184873949578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07962184873949578, 0.052836134453781505, 0.0125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.06638655462184873, 0.07888655462184872, 0.06712184873949578, 0.052836134453781505, 0.03855042016806722, 0.03855042016806722, 0.03855042016806722, 0.0, 0.0, 0.0, 0.014285714285714285, 0.014285714285714285, 0.0, 0.0, 0.03855042016806722, 0.0, 0.0, 0.0, 0.014285714285714285, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.06712184873949578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07888655462184872, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06712184873949578]}",0.24027852089963012,0,700,0,"{'lens': [13, 16, 15, 13, 13]}",14.0,53432,0.6104200000000067
700,3505,-0.13399999999999998,0.0,"{'obs': [0.0, 0.0125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05714285714285714, 0.026785714285714284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04285714285714286, 0.06964285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06964285714285715, 0.08214285714285714, 0.05357142857142857, 0.02857142857142857, 0.014285714285714285, 0.014285714285714285, 0.014285714285714285, 0.0, 0.0, 0.02857142857142857, 0.04107142857142857, 0.014285714285714285, 0.0, 0.0, 0.014285714285714285, 0.0, 0.0, 0.0, 0.04107142857142857, 0.05535714285714286, 0.05535714285714286, 0.05535714285714286, 0.06964285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06964285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06964285714285715]}",0.2423848416359912,0,701,0,"{'lens': [13, 15, 13, 13, 13]}",13.4,53499,0.6104250000000068
701,3510,-0.13199999999999998,0.0,"{'obs': [0.013333333333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07047619047619047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07047619047619047, 0.07047619047619047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07047619047619047, 0.07047619047619047, 0.07047619047619047, 0.07047619047619047, 0.07047619047619047, 0.07047619047619047, 0.07047619047619047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07047619047619047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07047619047619047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07047619047619047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07047619047619047]}",0.2561201714873382,0,702,0,"{'lens': [13, 13, 13, 14, 13]}",13.2,53565,0.6104300000000068
702,3515,-0.13799999999999998,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06785714285714287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06785714285714287, 0.06785714285714287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06785714285714287, 0.06785714285714287, 0.06785714285714287, 0.08035714285714286, 0.06607142857142857, 0.05357142857142857, 0.05357142857142857, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.0, 0.0, 0.06607142857142857, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.014285714285714285, 0.014285714285714285, 0.08035714285714286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06785714285714287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06785714285714287]}",0.2448859752663662,0,703,0,"{'lens': [13, 13, 15, 15, 13]}",13.8,53634,0.6104350000000068
703,3520,-0.13399999999999998,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06964285714285715, 0.014285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05535714285714286, 0.04285714285714286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026785714285714284, 0.06964285714285715, 0.06964285714285715, 0.06964285714285715, 0.06964285714285715, 0.08214285714285714, 0.06785714285714287, 0.05535714285714286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.0, 0.05535714285714286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.014285714285714285, 0.06964285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06964285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06964285714285715]}",0.23768811198293416,0,704,0,"{'lens': [13, 13, 15, 13, 13]}",13.4,53701,0.6104400000000069
704,3525,-0.13999999999999999,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08011904761904762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09345238095238095, 0.05345238095238095, 0.0125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013333333333333332, 0.054285714285714284, 0.07928571428571428, 0.07928571428571428, 0.06678571428571428, 0.06678571428571428, 0.06678571428571428, 0.06678571428571428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06678571428571428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06678571428571428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06678571428571428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06678571428571428]}",0.25636058614383017,0,705,0,"{'lens': [13, 14, 14, 14, 15]}",14.0,53771,0.6104450000000069
705,3530,-0.13399999999999998,-0.2,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06964285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06964285714285715, 0.05535714285714286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.06964285714285715, 0.05535714285714286, 0.05535714285714286, 0.05535714285714286, 0.04107142857142857, 0.04107142857142857, 0.039285714285714285, 0.0, 0.014285714285714285, 0.014285714285714285, 0.014285714285714285, 0.014285714285714285, 0.0, 0.014285714285714285, 0.039285714285714285, 0.0, 0.0, 0.0, 0.014285714285714285, 0.02857142857142857, 0.02857142857142857, 0.04285714285714286, 0.06964285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.06964285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05535714285714286]}",0.22459732821652467,0,706,0,"{'lens': [13, 15, 13, 13, 13]}",13.4,53838,0.6104500000000069
706,3535,-0.146,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06623376623376623, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06623376623376623, 0.051948051948051945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.06623376623376623, 0.06623376623376623, 0.06623376623376623, 0.06623376623376623, 0.05714285714285714, 0.05714285714285714, 0.04285714285714286, 0.0, 0.0, 0.0, 0.0, 0.00909090909090909, 0.0, 0.014285714285714285, 0.04285714285714286, 0.0, 0.0, 0.0, 0.0, 0.00909090909090909, 0.00909090909090909, 0.014285714285714285, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01818181818181818, 0.0, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07272727272727272, 0.00909090909090909, 0.06623376623376623]}",0.23900475001392632,0,707,0,"{'lens': [13, 21, 13, 13, 13]}",14.6,53911,0.610455000000007
707,3540,-0.136,-0.2,"{'obs': [0.0125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09035714285714286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09035714285714286, 0.06785714285714287, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.01, 0.0225, 0.07785714285714286, 0.07785714285714286, 0.07785714285714286, 0.04928571428571429, 0.04928571428571429, 0.04928571428571429, 0.05678571428571429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0125, 0.046785714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0225, 0.05928571428571429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04928571428571429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04928571428571429]}",0.2520707524739788,0,708,0,"{'lens': [19, 15, 13, 15, 6]}",13.6,53979,0.610460000000007
708,3545,-0.13599999999999998,0.0,"{'obs': [0.013333333333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06869047619047619, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06869047619047619, 0.0544047619047619, 0.0, 0.0, 0.0, 0.0125, 0.0, 0.0, 0.014285714285714285, 0.06869047619047619, 0.06869047619047619, 0.0544047619047619, 0.0544047619047619, 0.0669047619047619, 0.0544047619047619, 0.026785714285714284, 0.0, 0.0, 0.014285714285714285, 0.014285714285714285, 0.0, 0.0, 0.02761904761904762, 0.026785714285714284, 0.0, 0.0, 0.0, 0.014285714285714285, 0.014285714285714285, 0.014285714285714285, 0.0419047619047619, 0.06869047619047619, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06869047619047619, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06869047619047619]}",0.2318088995715259,0,709,0,"{'lens': [15, 13, 13, 13, 14]}",13.6,54047,0.610465000000007
709,3550,-0.13799999999999998,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06785714285714287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08035714285714284, 0.04285714285714286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0375, 0.06785714285714287, 0.06785714285714287, 0.06785714285714287, 0.06785714285714287, 0.06785714285714287, 0.05357142857142857, 0.05178571428571428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.014285714285714285, 0.05178571428571428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.02857142857142857, 0.06785714285714287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06785714285714287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06785714285714287]}",0.237540925409159,0,710,0,"{'lens': [15, 13, 15, 13, 13]}",13.8,54116,0.6104700000000071
710,3555,-0.13799999999999998,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09305322128851538, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.091484593837535, 0.0679551820728291, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0679551820728291, 0.0679551820728291, 0.0679551820728291, 0.0679551820728291, 0.0419047619047619, 0.02761904761904762, 0.013333333333333332, 0.0, 0.0, 0.0, 0.0, 0.026050420168067225, 0.014285714285714285, 0.014285714285714285, 0.013333333333333332, 0.0, 0.0, 0.0, 0.0, 0.026050420168067225, 0.04033613445378151, 0.05462184873949579, 0.0679551820728291, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0679551820728291, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0679551820728291]}",0.24917267116974323,0,711,0,"{'lens': [13, 16, 14, 13, 13]}",13.8,54185,0.6104750000000071
711,3560,-0.12999999999999998,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.04285714285714286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02857142857142857, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.05714285714285714, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.0, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.014285714285714285, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142]}",0.2438715598879575,0,712,0,"{'lens': [13, 13, 13, 13, 13]}",13.0,54250,0.6104800000000071
712,3565,-0.15,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07539682539682539, 0.02361111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0628968253968254, 0.05972222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.0628968253968254, 0.07539682539682539, 0.07539682539682539, 0.0628968253968254, 0.0628968253968254, 0.026785714285714284, 0.026785714285714284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03611111111111111, 0.0, 0.039285714285714285, 0.0, 0.0, 0.0, 0.0, 0.01111111111111111, 0.04722222222222222, 0.03611111111111111, 0.07539682539682539, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0628968253968254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0628968253968254]}",0.232117478404961,0,713,0,"{'lens': [13, 15, 17, 15, 15]}",15.0,54325,0.6105100000000071
713,3570,-0.12399999999999997,-0.4,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08202380952380953, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08202380952380953, 0.05523809523809524, 0.02857142857142857, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.026785714285714284, 0.09452380952380952, 0.09452380952380952, 0.05345238095238095, 0.05345238095238095, 0.05345238095238095, 0.05345238095238095, 0.026666666666666665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026785714285714284, 0.04095238095238095, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0125, 0.0667857142857143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.0667857142857143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03916666666666667]}",0.2513603214343374,0,714,0,"{'lens': [14, 14, 13, 6, 15]}",12.4,54387,0.6105150000000071
714,3575,-0.12999999999999998,-0.2,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.05714285714285714, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.0, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.014285714285714285, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05714285714285714]}",0.24219209564222655,0,715,0,"{'lens': [13, 13, 13, 13, 13]}",13.0,54452,0.6105450000000071
715,3580,-0.178,-0.2,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05803571428571428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07053571428571428, 0.039285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01875, 0.05803571428571428, 0.05803571428571428, 0.07053571428571428, 0.08303571428571428, 0.06428571428571428, 0.026785714285714284, 0.025, 0.0, 0.0, 0.0, 0.0, 0.0125, 0.025, 0.014285714285714285, 0.0125, 0.0, 0.0, 0.0, 0.0, 0.0125, 0.03125, 0.039285714285714285, 0.05178571428571428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00625, 0.00625, 0.05178571428571428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10625, 0.00625, 0.05178571428571428]}",0.2388950659485503,0,716,0,"{'lens': [15, 13, 15, 31, 15]}",17.8,54541,0.6105500000000071
716,3585,-0.12999999999999998,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.04285714285714286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02857142857142857, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.05714285714285714, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.0, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.014285714285714285, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142]}",0.2438715598879575,0,717,0,"{'lens': [13, 13, 13, 13, 13]}",13.0,54606,0.6105550000000072
717,3590,-0.13199999999999998,0.0,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0838095238095238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07047619047619047, 0.014285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05619047619047619, 0.07047619047619047, 0.07047619047619047, 0.07047619047619047, 0.07047619047619047, 0.05619047619047619, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.02761904761904762, 0.02857142857142857, 0.014285714285714285, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.0419047619047619, 0.05619047619047619, 0.07047619047619047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07047619047619047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07047619047619047]}",0.24084021359630634,0,718,0,"{'lens': [13, 13, 13, 14, 13]}",13.2,54672,0.6105600000000072
718,3595,-0.17400000000000002,-0.2,"{'obs': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06123949579831933, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06123949579831933, 0.04107142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020168067226890758, 0.06123949579831933, 0.06123949579831933, 0.06123949579831933, 0.06123949579831933, 0.04107142857142857, 0.04107142857142857, 0.04107142857142857, 0.0, 0.0, 0.0, 0.0, 0.020168067226890758, 0.0, 0.0, 0.04107142857142857, 0.0, 0.0, 0.0, 0.0, 0.020168067226890758, 0.020168067226890758, 0.026785714285714284, 0.06785714285714287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0058823529411764705, 0.0, 0.05535714285714286, 0.0, 0.0, 0.0, 0.0058823529411764705, 0.023529411764705882, 0.1, 0.0058823529411764705, 0.05535714285714286]}",0.23695710051414673,0,719,0,"{'lens': [13, 33, 13, 13, 15]}",17.4,54759,0.6105650000000072
